code,description, precio_lista , precio_compra ,cant_caja,content,um,grupo,create_time,
360,ANTIGUA CRUZ DE ORO .900 ML , 13.00000000 , 13.00000000 ,10,900,4,3285,null,
866,AVENA BIOPET .250 ML , 12.00000000 , 12.00000000 ,10,250,4,3292,null,
685674-4332,BARRA DE CHULETA AHUMADA, 95.00000000 , 95.00000000 ,10,1,8,3291,null,
685673-4332,BARRA JAMON EXTRAFINO , 98.00000000 , 98.00000000 ,10,1,8,3291,null,
685675-4332,BARRA JAMON VIRGINIA, 76.00000000 , 76.00000000 ,10,1,8,3291,null,
C25,BOLIMANTECA 1 KG, 57.00000000 , 57.00000000 ,10,1,7,3291,null,
387,BUEN FRIA .1800 ML  MANZANA, 15.00000000 , 15.00000000 ,10,1800,4,3287,null,
343,BUEN FRIA .1800 ML NARANJA, 15.00000000 , 15.00000000 ,10,1800,4,3287,null,
415,BUEN FRIA .1800 ML UVA, 15.00000000 , 15.00000000 ,10,1800,4,3287,null,
860,BUEN FRIA .500 ML MANZANA, 7.00000000 , 7.00000000 ,10,500,4,3287,null,
65,BUEN FRIA .500 ML NARANJA, 7.00000000 , 7.00000000 ,10,500,4,3287,null,
859,BUEN FRIA .500 ML UVA, 7.00000000 , 7.00000000 ,10,500,4,3287,null,
333,BUEN FRIA 1 LT MANZANA, 10.00000000 , 10.00000000 ,10,1,1,3287,null,
56,BUEN FRIA 1 LT NARANJA, 10.00000000 , 10.00000000 ,10,1,1,3287,null,
132,BUEN FRIA 1 LT UVA, 10.00000000 , 10.00000000 ,10,1,1,3287,null,
862,BUEN FRIA GL MANZANA, 28.00000000 , 28.00000000 ,10,1,2,3287,null,
58,BUEN FRIA GL NARANJA, 28.00000000 , 28.00000000 ,10,1,2,3287,null,
861,BUEN FRIA GL UVA, 28.00000000 , 28.00000000 ,10,1,2,3287,null,
833,CAFÉ LECHERO 1LT, 30.00000000 , 30.00000000 ,10,1,1,3292,null,
693,CAFÉ LECHERO 250 ML, 15.00000000 , 15.00000000 ,10,1,4,3292,null,
685661-4332,CANASTILLA SELLO ROJO, 0.10000000 , 0.10000000 ,10,1,8,3509,null,
C12,CHORIZO EXTRAFINO .500 GRS, 47.00000000 , 47.00000000 ,10,500,3,3291,null,
C10,CHULETA .500 GRS, 50.00000000 , 50.00000000 ,10,500,3,3291,null,
C27,CHULETA 1 KG, 95.00000000 , 95.00000000 ,10,1,7,3291,null,
C41,CREMA .200 GRS TRES GENERACIONES, 11.50000000 , 11.50000000 ,10,200,3,3505,null,
683,CREMA 1 KG ACIDA, 57.00000000 , 57.00000000 ,10,1,7,3284,null,
C40,CREMA 1 KG TRES GENERACIONES, 37.00000000 , 37.00000000 ,10,1,7,3505,null,
687,CREMA 1KG PAST., 57.00000000 , 57.00000000 ,10,1,7,3284,null,
267,CREMA 220 ACIDA, 14.50000000 , 14.50000000 ,10,1,3,3284,null,
260,CREMA 220 PAST., 14.50000000 , 14.50000000 ,10,1,3,3284,null,
291,CREMA 450 ACIDA, 30.00000000 , 30.00000000 ,10,1,3,3284,null,
155,CREMA 450 PAST., 30.00000000 , 30.00000000 ,10,1,3,3284,null,
218,CUB YOGHURT DURAZNO 4 KGS, 127.00000000 , 127.00000000 ,10,1,7,3280,null,
217,CUB YOGHURT FRESA 4 KGS, 127.00000000 , 127.00000000 ,10,1,7,3280,null,
221,CUB YOGHURT NATURAL 4 KGS, 127.00000000 , 127.00000000 ,10,1,7,3280,null,
